PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETROOT,2000,-0.5,34.375,0.56,0.52,0.52,0.56,0.57,0.54,0.53,0.54,0.54,0.61,0.69,0.77,0.58
GWETROOT,2000,-0.5,35,0.51,0.48,0.49,0.51,0.51,0.49,0.49,0.5,0.51,0.54,0.6,0.65,0.52
GWETROOT,2000,-0.5,35.625,0.43,0.41,0.41,0.43,0.43,0.42,0.43,0.45,0.45,0.45,0.48,0.47,0.44
GWETROOT,2000,-0.5,36.25,0.38,0.37,0.36,0.39,0.38,0.38,0.39,0.41,0.41,0.4,0.42,0.4,0.39
GWETROOT,2000,-0.5,36.875,0.4,0.37,0.36,0.39,0.38,0.37,0.38,0.39,0.39,0.38,0.41,0.41,0.39
GWETROOT,2000,-0.5,37.5,0.51,0.47,0.46,0.47,0.46,0.46,0.46,0.48,0.48,0.47,0.5,0.51,0.48
GWETROOT,2000,-0.5,38.125,0.51,0.48,0.47,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.51,0.53,0.48
GWETROOT,2000,-0.5,38.75,0.45,0.44,0.44,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.47,0.48,0.44
GWETROOT,2000,-0.5,39.375,0.4,0.39,0.39,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.43,0.42,0.4
GWETROOT,2000,-0.5,40,0.45,0.44,0.43,0.46,0.44,0.44,0.43,0.43,0.43,0.44,0.47,0.48,0.44
GWETROOT,2000,-0.5,40.625,0.46,0.45,0.45,0.47,0.48,0.47,0.46,0.47,0.46,0.47,0.48,0.47,0.47
GWETROOT,2000,-0.5,41.25,0.47,0.47,0.47,0.48,0.49,0.48,0.47,0.48,0.47,0.49,0.49,0.48,0.48
GWETROOT,2000,-1,34.375,0.5,0.5,0.5,0.5,0.49,0.47,0.48,0.48,0.48,0.5,0.57,0.66,0.51
GWETROOT,2000,-1,35,0.53,0.52,0.53,0.54,0.53,0.51,0.51,0.52,0.52,0.53,0.6,0.69,0.54
GWETROOT,2000,-1,35.625,0.48,0.46,0.47,0.49,0.48,0.47,0.47,0.48,0.48,0.48,0.54,0.56,0.49
GWETROOT,2000,-1,36.25,0.38,0.35,0.34,0.37,0.38,0.37,0.38,0.4,0.4,0.38,0.42,0.43,0.38
GWETROOT,2000,-1,36.875,0.52,0.46,0.46,0.48,0.46,0.46,0.46,0.47,0.46,0.46,0.5,0.53,0.48
GWETROOT,2000,-1,37.5,0.53,0.48,0.47,0.49,0.48,0.47,0.47,0.48,0.48,0.47,0.51,0.53,0.49
GWETROOT,2000,-1,38.125,0.5,0.48,0.47,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.5,0.51,0.48
GWETROOT,2000,-1,38.75,0.47,0.47,0.47,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.5,0.51,0.48
GWETROOT,2000,-1,39.375,0.46,0.46,0.46,0.48,0.47,0.47,0.46,0.46,0.46,0.47,0.49,0.48,0.47
GWETROOT,2000,-1,40,0.54,0.54,0.54,0.56,0.55,0.54,0.54,0.54,0.54,0.54,0.57,0.57,0.55
GWETROOT,2000,-1,40.625,0.47,0.47,0.48,0.49,0.5,0.48,0.48,0.49,0.47,0.49,0.5,0.49,0.48
GWETROOT,2000,-1,41.25,0.47,0.47,0.48,0.48,0.5,0.48,0.48,0.48,0.47,0.49,0.49,0.49,0.48
GWETROOT,2000,-1.5,34.375,0.58,0.59,0.59,0.59,0.58,0.57,0.57,0.58,0.57,0.59,0.65,0.74,0.6
GWETROOT,2000,-1.5,35,0.55,0.54,0.55,0.56,0.55,0.54,0.54,0.54,0.54,0.55,0.62,0.72,0.57
GWETROOT,2000,-1.5,35.625,0.49,0.46,0.47,0.5,0.49,0.47,0.46,0.47,0.47,0.47,0.54,0.61,0.49
GWETROOT,2000,-1.5,36.25,0.41,0.38,0.39,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.44,0.45,0.4
GWETROOT,2000,-1.5,36.875,0.62,0.59,0.59,0.61,0.6,0.59,0.59,0.59,0.59,0.59,0.63,0.65,0.6
GWETROOT,2000,-1.5,37.5,0.52,0.46,0.45,0.47,0.46,0.45,0.44,0.45,0.44,0.44,0.49,0.54,0.47
GWETROOT,2000,-1.5,38.125,0.49,0.45,0.44,0.45,0.43,0.43,0.42,0.42,0.41,0.41,0.46,0.5,0.44
GWETROOT,2000,-1.5,38.75,0.48,0.47,0.47,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.5,0.51,0.48
GWETROOT,2000,-1.5,39.375,0.47,0.47,0.47,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.5,0.49,0.48
GWETROOT,2000,-1.5,40,0.54,0.53,0.54,0.56,0.55,0.54,0.54,0.54,0.54,0.54,0.56,0.55,0.54
GWETROOT,2000,-1.5,40.625,0.48,0.48,0.49,0.51,0.51,0.5,0.49,0.5,0.49,0.5,0.51,0.5,0.5
GWETROOT,2000,-1.5,41.25,0.47,0.47,0.47,0.49,0.5,0.49,0.48,0.49,0.47,0.49,0.49,0.49,0.48
GWETROOT,2000,-1.80E-13,34.375,0.44,0.39,0.41,0.47,0.53,0.48,0.45,0.46,0.47,0.53,0.54,0.55,0.48
GWETROOT,2000,-1.80E-13,35,0.52,0.48,0.49,0.53,0.57,0.55,0.55,0.56,0.57,0.61,0.6,0.58,0.55
GWETROOT,2000,-1.80E-13,35.625,0.45,0.42,0.42,0.45,0.46,0.46,0.47,0.49,0.5,0.5,0.49,0.47,0.47
GWETROOT,2000,-1.80E-13,36.25,0.43,0.42,0.42,0.44,0.43,0.43,0.45,0.48,0.48,0.46,0.46,0.45,0.45
GWETROOT,2000,-1.80E-13,36.875,0.4,0.37,0.35,0.37,0.37,0.36,0.37,0.4,0.4,0.39,0.41,0.4,0.38
GWETROOT,2000,-1.80E-13,37.5,0.46,0.41,0.39,0.41,0.41,0.4,0.4,0.43,0.43,0.42,0.45,0.46,0.42
GWETROOT,2000,-1.80E-13,38.125,0.46,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.43,0.46,0.42
GWETROOT,2000,-1.80E-13,38.75,0.39,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.38,0.4,0.36
GWETROOT,2000,-1.80E-13,39.375,0.35,0.33,0.33,0.35,0.34,0.33,0.33,0.33,0.34,0.34,0.36,0.36,0.34
GWETROOT,2000,-1.80E-13,40,0.37,0.34,0.34,0.36,0.35,0.34,0.34,0.34,0.34,0.35,0.36,0.37,0.35
GWETROOT,2000,-1.80E-13,40.625,0.39,0.39,0.38,0.4,0.4,0.39,0.39,0.39,0.4,0.41,0.41,0.4,0.4
GWETROOT,2000,-1.80E-13,41.25,0.42,0.41,0.41,0.43,0.43,0.42,0.42,0.42,0.43,0.44,0.43,0.42,0.42
GWETROOT,2000,-2,34.375,0.6,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.61,0.64,0.72,0.62
GWETROOT,2000,-2,35,0.57,0.55,0.56,0.57,0.56,0.55,0.55,0.55,0.55,0.56,0.61,0.7,0.57
GWETROOT,2000,-2,35.625,0.53,0.49,0.5,0.53,0.52,0.5,0.49,0.5,0.49,0.49,0.56,0.62,0.52
GWETROOT,2000,-2,36.25,0.37,0.35,0.36,0.37,0.36,0.35,0.35,0.36,0.35,0.35,0.39,0.4,0.36
GWETROOT,2000,-2,36.875,0.6,0.58,0.59,0.6,0.59,0.58,0.58,0.59,0.58,0.59,0.63,0.64,0.6
GWETROOT,2000,-2,37.5,0.53,0.48,0.48,0.5,0.49,0.48,0.48,0.48,0.48,0.48,0.53,0.57,0.5
GWETROOT,2000,-2,38.125,0.46,0.42,0.41,0.43,0.42,0.41,0.4,0.4,0.39,0.39,0.43,0.48,0.42
GWETROOT,2000,-2,38.75,0.5,0.48,0.49,0.5,0.49,0.49,0.48,0.48,0.48,0.48,0.52,0.53,0.49
GWETROOT,2000,-2,39.375,0.51,0.5,0.51,0.53,0.52,0.51,0.51,0.51,0.51,0.5,0.54,0.54,0.52
GWETROOT,2000,-2,40,0.47,0.46,0.47,0.49,0.49,0.48,0.47,0.48,0.47,0.48,0.5,0.49,0.48
GWETROOT,2000,-2,40.625,0.47,0.46,0.47,0.49,0.5,0.49,0.48,0.49,0.47,0.49,0.49,0.48,0.48
GWETROOT,2000,-2,41.25,0.38,0.37,0.37,0.39,0.4,0.4,0.38,0.39,0.38,0.39,0.39,0.38,0.39
GWETROOT,2000,-2.5,34.375,0.5,0.5,0.54,0.51,0.49,0.49,0.49,0.49,0.49,0.5,0.54,0.64,0.52
GWETROOT,2000,-2.5,35,0.51,0.48,0.5,0.5,0.48,0.47,0.47,0.47,0.47,0.48,0.52,0.61,0.5
GWETROOT,2000,-2.5,35.625,0.5,0.47,0.48,0.5,0.48,0.47,0.47,0.47,0.47,0.47,0.51,0.55,0.49
GWETROOT,2000,-2.5,36.25,0.44,0.43,0.43,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.45,0.46,0.44
GWETROOT,2000,-2.5,36.875,0.59,0.57,0.58,0.59,0.58,0.58,0.57,0.57,0.57,0.57,0.6,0.63,0.58
GWETROOT,2000,-2.5,37.5,0.56,0.54,0.54,0.56,0.55,0.54,0.54,0.54,0.54,0.54,0.57,0.62,0.55
GWETROOT,2000,-2.5,38.125,0.52,0.49,0.48,0.5,0.49,0.49,0.48,0.48,0.48,0.48,0.52,0.56,0.5
GWETROOT,2000,-2.5,38.75,0.53,0.51,0.52,0.53,0.53,0.52,0.51,0.52,0.52,0.51,0.55,0.58,0.53
GWETROOT,2000,-2.5,39.375,0.61,0.6,0.61,0.64,0.66,0.64,0.61,0.61,0.62,0.61,0.64,0.65,0.63
GWETROOT,2000,-2.5,40,0.4,0.38,0.4,0.42,0.47,0.44,0.41,0.41,0.41,0.41,0.42,0.43,0.42
GWETROOT,2000,-2.5,40.625,0.4,0.39,0.4,0.42,0.48,0.46,0.43,0.43,0.42,0.43,0.42,0.43,0.43
GWETROOT,2000,-2.5,41.25,,,,,,,,,,,,,
GWETROOT,2000,-3,34.375,0.47,0.47,0.55,0.5,0.46,0.46,0.46,0.46,0.46,0.47,0.52,0.67,0.5
GWETROOT,2000,-3,35,0.49,0.47,0.51,0.5,0.47,0.46,0.46,0.46,0.46,0.46,0.5,0.61,0.49
GWETROOT,2000,-3,35.625,0.53,0.48,0.47,0.51,0.51,0.48,0.46,0.46,0.46,0.46,0.48,0.54,0.49
GWETROOT,2000,-3,36.25,0.56,0.55,0.55,0.58,0.57,0.56,0.55,0.55,0.55,0.55,0.56,0.57,0.56
GWETROOT,2000,-3,36.875,0.61,0.58,0.58,0.61,0.64,0.62,0.59,0.59,0.59,0.58,0.6,0.66,0.6
GWETROOT,2000,-3,37.5,0.52,0.48,0.48,0.51,0.53,0.52,0.5,0.49,0.49,0.48,0.5,0.55,0.5
GWETROOT,2000,-3,38.125,0.51,0.48,0.48,0.49,0.51,0.5,0.48,0.48,0.49,0.47,0.51,0.57,0.5
GWETROOT,2000,-3,38.75,0.52,0.51,0.51,0.53,0.55,0.53,0.51,0.52,0.52,0.51,0.55,0.59,0.53
GWETROOT,2000,-3,39.375,0.6,0.6,0.61,0.63,0.7,0.67,0.63,0.63,0.64,0.62,0.64,0.66,0.64
GWETROOT,2000,-3,40,0.39,0.38,0.39,0.41,0.51,0.47,0.43,0.42,0.42,0.41,0.42,0.43,0.42
GWETROOT,2000,-3,40.625,0.4,0.38,0.39,0.42,0.57,0.55,0.47,0.45,0.43,0.44,0.43,0.45,0.45
GWETROOT,2000,-3,41.25,,,,,,,,,,,,,
GWETROOT,2000,-3.5,34.375,0.47,0.47,0.55,0.5,0.46,0.46,0.46,0.46,0.46,0.47,0.51,0.66,0.49
GWETROOT,2000,-3.5,35,0.47,0.47,0.5,0.5,0.47,0.46,0.46,0.46,0.46,0.46,0.49,0.58,0.48
GWETROOT,2000,-3.5,35.625,0.5,0.48,0.49,0.51,0.5,0.48,0.48,0.48,0.48,0.48,0.5,0.53,0.49
GWETROOT,2000,-3.5,36.25,0.49,0.48,0.49,0.51,0.5,0.49,0.48,0.49,0.48,0.48,0.49,0.51,0.49
GWETROOT,2000,-3.5,36.875,0.47,0.46,0.46,0.49,0.5,0.48,0.47,0.47,0.47,0.46,0.48,0.5,0.48
GWETROOT,2000,-3.5,37.5,0.47,0.46,0.46,0.48,0.49,0.48,0.47,0.47,0.47,0.46,0.48,0.5,0.47
GWETROOT,2000,-3.5,38.125,0.48,0.47,0.47,0.49,0.5,0.5,0.48,0.48,0.49,0.47,0.5,0.53,0.49
GWETROOT,2000,-3.5,38.75,0.5,0.48,0.49,0.51,0.53,0.53,0.5,0.5,0.52,0.49,0.52,0.56,0.51
GWETROOT,2000,-3.5,39.375,0.58,0.58,0.6,0.61,0.7,0.67,0.62,0.61,0.62,0.6,0.61,0.63,0.62
GWETROOT,2000,-3.5,40,0.48,0.47,0.48,0.51,0.59,0.56,0.52,0.51,0.53,0.5,0.51,0.53,0.52
GWETROOT,2000,-3.5,40.625,0.4,0.38,0.39,0.43,0.61,0.59,0.49,0.45,0.43,0.44,0.43,0.45,0.46
GWETROOT,2000,-3.5,41.25,,,,,,,,,,,,,
GWETROOT,2000,-4,34.375,0.47,0.47,0.52,0.48,0.46,0.46,0.46,0.46,0.46,0.46,0.5,0.6,0.48
GWETROOT,2000,-4,35,0.52,0.52,0.55,0.54,0.52,0.51,0.51,0.51,0.51,0.51,0.54,0.6,0.53
GWETROOT,2000,-4,35.625,0.51,0.5,0.51,0.52,0.51,0.5,0.49,0.49,0.49,0.49,0.51,0.55,0.51
GWETROOT,2000,-4,36.25,0.48,0.47,0.47,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.48,0.51,0.48
GWETROOT,2000,-4,36.875,0.47,0.47,0.47,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.48,0.51,0.48
GWETROOT,2000,-4,37.5,0.49,0.49,0.49,0.5,0.51,0.5,0.49,0.49,0.5,0.49,0.51,0.53,0.5
GWETROOT,2000,-4,38.125,0.54,0.54,0.55,0.56,0.57,0.57,0.55,0.55,0.56,0.54,0.57,0.59,0.56
GWETROOT,2000,-4,38.75,0.5,0.49,0.5,0.52,0.54,0.54,0.52,0.52,0.53,0.5,0.52,0.55,0.52
GWETROOT,2000,-4,39.375,0.45,0.44,0.46,0.48,0.55,0.52,0.48,0.47,0.48,0.46,0.47,0.49,0.48
GWETROOT,2000,-4,40,0.42,0.4,0.42,0.45,0.53,0.5,0.45,0.45,0.48,0.43,0.45,0.48,0.46
GWETROOT,2000,-4,40.625,,,,,,,,,,,,,
GWETROOT,2000,-4,41.25,,,,,,,,,,,,,
GWETROOT,2000,-4.5,34.375,0.41,0.41,0.45,0.41,0.4,0.4,0.4,0.4,0.39,0.4,0.44,0.51,0.42
GWETROOT,2000,-4.5,35,0.44,0.44,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.43,0.46,0.51,0.45
GWETROOT,2000,-4.5,35.625,0.43,0.42,0.43,0.45,0.43,0.42,0.41,0.41,0.41,0.41,0.44,0.47,0.43
GWETROOT,2000,-4.5,36.25,0.47,0.47,0.47,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.49,0.51,0.48
GWETROOT,2000,-4.5,36.875,0.48,0.47,0.47,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.49,0.52,0.48
GWETROOT,2000,-4.5,37.5,0.48,0.47,0.48,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.5,0.53,0.49
GWETROOT,2000,-4.5,38.125,0.6,0.59,0.6,0.62,0.65,0.66,0.63,0.63,0.64,0.61,0.62,0.67,0.63
GWETROOT,2000,-4.5,38.75,0.57,0.56,0.57,0.6,0.65,0.65,0.62,0.61,0.62,0.59,0.6,0.65,0.61
GWETROOT,2000,-4.5,39.375,0.42,0.4,0.42,0.46,0.52,0.5,0.46,0.45,0.46,0.43,0.44,0.48,0.45
GWETROOT,2000,-4.5,40,0.39,0.38,0.4,0.43,0.48,0.46,0.42,0.42,0.42,0.4,0.4,0.43,0.42
GWETROOT,2000,-4.5,40.625,,,,,,,,,,,,,
GWETROOT,2000,-4.5,41.25,,,,,,,,,,,,,
GWETROOT,2000,0.5,34.375,0.41,0.39,0.4,0.45,0.52,0.47,0.47,0.49,0.5,0.55,0.5,0.46,0.47
GWETROOT,2000,0.5,35,0.5,0.45,0.45,0.49,0.55,0.53,0.55,0.58,0.61,0.63,0.58,0.53,0.54
GWETROOT,2000,0.5,35.625,0.4,0.38,0.38,0.42,0.46,0.44,0.47,0.49,0.51,0.5,0.46,0.42,0.44
GWETROOT,2000,0.5,36.25,0.41,0.4,0.4,0.41,0.42,0.42,0.45,0.5,0.5,0.47,0.44,0.42,0.44
GWETROOT,2000,0.5,36.875,0.52,0.49,0.49,0.5,0.5,0.5,0.52,0.55,0.55,0.52,0.52,0.52,0.52
GWETROOT,2000,0.5,37.5,0.38,0.35,0.34,0.34,0.34,0.34,0.34,0.36,0.36,0.35,0.36,0.38,0.35
GWETROOT,2000,0.5,38.125,0.38,0.35,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.36,0.37,0.34
GWETROOT,2000,0.5,38.75,0.37,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.35,0.36,0.34
GWETROOT,2000,0.5,39.375,0.38,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.36,0.37,0.38,0.36
GWETROOT,2000,0.5,40,0.36,0.33,0.33,0.35,0.34,0.34,0.33,0.33,0.34,0.35,0.35,0.35,0.34
GWETROOT,2000,0.5,40.625,0.35,0.34,0.34,0.35,0.35,0.35,0.34,0.34,0.36,0.37,0.36,0.35,0.35
GWETROOT,2000,0.5,41.25,0.37,0.37,0.36,0.37,0.38,0.37,0.37,0.37,0.38,0.39,0.38,0.37,0.37
GWETROOT,2000,1,34.375,0.57,0.51,0.49,0.51,0.58,0.58,0.59,0.64,0.67,0.72,0.7,0.64,0.6
GWETROOT,2000,1,35,0.55,0.47,0.44,0.46,0.55,0.54,0.59,0.66,0.71,0.75,0.71,0.62,0.59
GWETROOT,2000,1,35.625,0.38,0.36,0.36,0.39,0.45,0.44,0.48,0.54,0.54,0.52,0.46,0.41,0.44
GWETROOT,2000,1,36.25,0.35,0.35,0.35,0.36,0.36,0.37,0.41,0.48,0.47,0.42,0.38,0.37,0.39
GWETROOT,2000,1,36.875,0.38,0.35,0.34,0.34,0.35,0.35,0.39,0.44,0.44,0.4,0.4,0.4,0.38
GWETROOT,2000,1,37.5,0.39,0.35,0.33,0.33,0.33,0.33,0.34,0.36,0.35,0.33,0.36,0.38,0.35
GWETROOT,2000,1,38.125,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.35,0.35,0.34
GWETROOT,2000,1,38.75,0.37,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.37,0.37,0.36
GWETROOT,2000,1,39.375,0.39,0.36,0.36,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.38,0.38,0.37
GWETROOT,2000,1,40,0.36,0.33,0.33,0.34,0.33,0.33,0.33,0.33,0.34,0.34,0.35,0.35,0.34
GWETROOT,2000,1,40.625,0.37,0.35,0.35,0.36,0.37,0.36,0.36,0.36,0.37,0.39,0.38,0.37,0.37
GWETROOT,2000,1,41.25,0.42,0.42,0.42,0.43,0.43,0.43,0.42,0.42,0.44,0.45,0.44,0.43,0.43
GWETROOT,2000,1.5,34.375,0.46,0.46,0.46,0.47,0.5,0.5,0.51,0.55,0.54,0.56,0.52,0.49,0.5
GWETROOT,2000,1.5,35,0.42,0.4,0.4,0.41,0.48,0.47,0.51,0.58,0.58,0.57,0.52,0.47,0.48
GWETROOT,2000,1.5,35.625,0.33,0.33,0.33,0.33,0.37,0.35,0.39,0.45,0.44,0.41,0.38,0.35,0.37
GWETROOT,2000,1.5,36.25,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.43,0.41,0.38,0.37,0.36,0.38
GWETROOT,2000,1.5,36.875,0.38,0.35,0.34,0.34,0.34,0.34,0.35,0.37,0.36,0.34,0.37,0.39,0.36
GWETROOT,2000,1.5,37.5,0.36,0.34,0.33,0.33,0.33,0.33,0.34,0.36,0.35,0.34,0.36,0.37,0.35
GWETROOT,2000,1.5,38.125,0.36,0.35,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.36,0.36,0.35
GWETROOT,2000,1.5,38.75,0.46,0.45,0.45,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.47,0.46,0.45
GWETROOT,2000,1.5,39.375,0.39,0.36,0.35,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.37
GWETROOT,2000,1.5,40,0.41,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.38,0.38,0.39,0.39,0.38
GWETROOT,2000,1.5,40.625,0.43,0.41,0.41,0.42,0.42,0.42,0.41,0.41,0.43,0.44,0.43,0.42,0.42
GWETROOT,2000,1.5,41.25,0.34,0.33,0.33,0.34,0.35,0.34,0.33,0.33,0.36,0.4,0.38,0.35,0.35
GWETROOT,2000,2,34.375,0.46,0.46,0.46,0.46,0.48,0.47,0.48,0.52,0.5,0.5,0.48,0.47,0.48
GWETROOT,2000,2,35,0.4,0.39,0.4,0.4,0.42,0.41,0.43,0.49,0.48,0.47,0.45,0.42,0.43
GWETROOT,2000,2,35.625,0.33,0.33,0.33,0.33,0.34,0.33,0.35,0.39,0.39,0.35,0.35,0.34,0.35
GWETROOT,2000,2,36.25,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.4,0.39,0.37,0.38,0.37,0.38
GWETROOT,2000,2,36.875,0.38,0.35,0.36,0.36,0.35,0.36,0.36,0.37,0.36,0.36,0.38,0.39,0.37
GWETROOT,2000,2,37.5,0.36,0.33,0.33,0.34,0.33,0.33,0.33,0.34,0.33,0.33,0.36,0.37,0.34
GWETROOT,2000,2,38.125,0.41,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.39,0.41,0.41,0.39
GWETROOT,2000,2,38.75,0.4,0.39,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.41,0.4,0.39
GWETROOT,2000,2,39.375,0.37,0.33,0.33,0.34,0.34,0.33,0.33,0.33,0.34,0.34,0.36,0.36,0.34
GWETROOT,2000,2,40,0.41,0.37,0.37,0.39,0.38,0.37,0.37,0.37,0.38,0.38,0.4,0.4,0.38
GWETROOT,2000,2,40.625,0.56,0.56,0.55,0.56,0.57,0.56,0.56,0.56,0.57,0.59,0.58,0.57,0.57
GWETROOT,2000,2,41.25,0.42,0.4,0.4,0.41,0.42,0.41,0.41,0.41,0.42,0.44,0.44,0.42,0.42
GWETROOT,2000,2.5,34.375,0.42,0.42,0.42,0.42,0.44,0.43,0.44,0.47,0.44,0.45,0.44,0.43,0.44
GWETROOT,2000,2.5,35,0.37,0.36,0.36,0.37,0.38,0.37,0.38,0.43,0.42,0.4,0.39,0.38,0.38
GWETROOT,2000,2.5,35.625,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.4,0.39,0.34,0.34,0.34,0.34
GWETROOT,2000,2.5,36.25,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.4,0.37,0.36,0.37,0.36,0.36
GWETROOT,2000,2.5,36.875,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.36,0.36,0.35
GWETROOT,2000,2.5,37.5,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.37,0.37,0.39,0.39,0.38
GWETROOT,2000,2.5,38.125,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.38,0.38,0.37
GWETROOT,2000,2.5,38.75,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.38,0.37
GWETROOT,2000,2.5,39.375,0.36,0.33,0.33,0.35,0.35,0.34,0.34,0.34,0.35,0.36,0.37,0.36,0.35
GWETROOT,2000,2.5,40,0.4,0.37,0.37,0.38,0.39,0.38,0.38,0.38,0.39,0.41,0.41,0.4,0.39
GWETROOT,2000,2.5,40.625,0.48,0.47,0.46,0.47,0.49,0.47,0.47,0.46,0.47,0.53,0.51,0.49,0.48
GWETROOT,2000,2.5,41.25,0.27,0.25,0.24,0.25,0.27,0.26,0.25,0.24,0.25,0.31,0.3,0.28,0.26
GWETROOT,2000,3,34.375,0.45,0.44,0.44,0.45,0.46,0.46,0.46,0.5,0.48,0.48,0.46,0.45,0.46
GWETROOT,2000,3,35,0.33,0.33,0.33,0.33,0.34,0.34,0.34,0.41,0.39,0.36,0.35,0.34,0.35
GWETROOT,2000,3,35.625,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.41,0.38,0.34,0.34,0.33,0.34
GWETROOT,2000,3,36.25,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.38,0.35,0.34,0.34,0.34,0.34
GWETROOT,2000,3,36.875,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.36,0.34,0.33,0.34,0.34,0.34
GWETROOT,2000,3,37.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.31,0.31,0.31,0.3
GWETROOT,2000,3,38.125,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.36,0.36,0.36,0.35
GWETROOT,2000,3,38.75,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.4,0.42,0.41,0.4,0.4
GWETROOT,2000,3,39.375,0.34,0.33,0.33,0.34,0.35,0.33,0.33,0.34,0.35,0.39,0.38,0.36,0.35
GWETROOT,2000,3,40,0.38,0.36,0.36,0.37,0.39,0.37,0.37,0.37,0.39,0.44,0.42,0.4,0.39
GWETROOT,2000,3,40.625,0.39,0.37,0.36,0.37,0.41,0.39,0.38,0.37,0.38,0.47,0.44,0.41,0.4
GWETROOT,2000,3,41.25,0.3,0.29,0.28,0.28,0.32,0.3,0.29,0.29,0.29,0.36,0.34,0.31,0.3
GWETROOT,2000,3.5,34.375,0.34,0.34,0.34,0.35,0.37,0.36,0.36,0.43,0.41,0.4,0.39,0.36,0.37
GWETROOT,2000,3.5,35,0.33,0.33,0.33,0.34,0.33,0.34,0.33,0.4,0.38,0.35,0.34,0.34,0.35
GWETROOT,2000,3.5,35.625,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.38,0.35,0.34,0.34,0.33,0.34
GWETROOT,2000,3.5,36.25,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.36,0.34,0.34,0.34,0.34,0.34
GWETROOT,2000,3.5,36.875,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.35,0.33,0.34,0.34,0.34,0.33
GWETROOT,2000,3.5,37.5,0.37,0.37,0.37,0.38,0.37,0.37,0.37,0.39,0.38,0.38,0.38,0.38,0.38
GWETROOT,2000,3.5,38.125,0.33,0.33,0.33,0.34,0.33,0.33,0.33,0.34,0.35,0.38,0.38,0.36,0.34
GWETROOT,2000,3.5,38.75,0.35,0.35,0.34,0.35,0.36,0.35,0.35,0.36,0.38,0.42,0.41,0.38,0.37
GWETROOT,2000,3.5,39.375,0.38,0.37,0.37,0.38,0.4,0.38,0.38,0.39,0.42,0.46,0.45,0.41,0.4
GWETROOT,2000,3.5,40,0.38,0.38,0.37,0.38,0.41,0.38,0.38,0.38,0.41,0.46,0.45,0.41,0.4
GWETROOT,2000,3.5,40.625,0.52,0.51,0.51,0.51,0.55,0.52,0.51,0.51,0.52,0.6,0.57,0.53,0.53
GWETROOT,2000,3.5,41.25,0.35,0.34,0.33,0.33,0.37,0.35,0.34,0.33,0.34,0.41,0.39,0.36,0.35
